,family_structure,location,gross_income,rate
198,1.0,1.0,0.5489225861681186,0.29692829471529125
172,1.0,1.0,0.5043011036365598,0.35048781160822906
146,0.0,0.0,0.4244609271743224,0.04668970728971697
14,1.0,0.0,0.47857476992485937,0.15450435439385668
70,1.0,0.0,0.2851708397151661,0.07083488603910812
234,1.0,1.0,0.37473540752169987,0.30731491741395023
250,1.0,1.0,0.2026640792560508,0.16031574348490904
143,0.0,0.0,0.3483958460153745,-0.0047731754184086594
93,0.0,0.0,0.4159743140145876,0.10215664057335205
278,1.0,1.0,0.5987733745700379,
22,1.0,0.0,0.21450469726596855,
137,0.0,0.0,0.3346027882948291,0.07160960691770313
12,1.0,0.0,0.3266848628450032,
255,1.0,1.0,0.2320939486066192,0.22719330312253072
219,1.0,1.0,0.24249390483204425,
0,0.0,0.0,0.3129810485515231,
39,0.0,0.0,0.48037060850960606,0.029961807085862338
107,1.0,0.0,0.40237204273623955,
223,0.0,1.0,0.4641593039887278,
236,1.0,1.0,0.4856346802224187,0.33804763873489685
21,1.0,0.0,0.24298623254247864,0.007830327516701485
322,1.0,1.0,0.26536731634182914,0.2668024439918534
91,1.0,0.0,0.2618376811071314,0.07997398949794018
324,1.0,1.0,0.14842578710644683,0.07128309572301426
192,1.0,1.0,0.21799137638392907,0.21375214261440173
157,1.0,1.0,0.381783194059939,0.22803719537733907
61,0.0,0.0,0.2447860587457738,
242,0.0,1.0,0.29610404332775697,0.15882788133049947
147,0.0,0.0,0.5664756993606155,0.09159446706813042
95,0.0,0.0,0.5647596582771792,0.05718398648797232
251,1.0,1.0,0.5450017978558832,0.3029362107099862
282,0.0,1.0,0.5565596165207183,0.31477154624633086
130,1.0,0.0,0.408748562338653,0.14230900302902527
112,0.0,0.0,0.21513409132283506,-0.0008447837804654579
85,1.0,0.0,0.29085494786009447,0.048504567315698674
133,1.0,0.0,0.38643521173901324,
311,1.0,0.0,0.001124437781109447,
303,1.0,0.0,0.22713643178410797,0.03177189409368636
257,1.0,1.0,0.5023575356712175,
150,1.0,1.0,0.5210828302942232,
174,0.0,1.0,0.39941439116731825,0.24544402357761697
319,0.0,1.0,0.031203148425787128,0.09857433808553973
191,1.0,1.0,0.2257704899878558,
153,1.0,1.0,0.33005556133425035,
102,1.0,0.0,0.5126899730629579,
69,1.0,0.0,0.4855172178487902,0.09622250839947738
151,1.0,1.0,0.380096989832553,0.3039959485305709
82,0.0,0.0,0.394196565245964,0.04318302116838162
59,1.0,0.0,0.5530535005076569,0.14095062909769887
279,0.0,1.0,0.37209708818859244,0.2157684999165838
280,0.0,1.0,0.552564721883563,0.2742875006596824
197,1.0,1.0,0.37748402966622685,
79,1.0,0.0,0.5454165696987288,0.18546303257608743
304,1.0,0.0,0.4794602698650675,0.12537678207739306
260,0.0,1.0,0.2184787570132321,0.11681549744263228
177,0.0,1.0,0.4592105088994467,0.26412816437193554
277,0.0,1.0,0.4276528184014692,0.24709889720104122
105,0.0,0.0,0.26515643167601943,0.03151680102033999
254,1.0,1.0,0.3954162806344177,0.23586740600986467
54,1.0,0.0,0.42940986566411277,
56,0.0,0.0,0.5244471343061903,0.052907550848150645
245,0.0,1.0,0.3679760320015161,
272,1.0,1.0,0.34273775215910013,0.2388335861279306
44,0.0,0.0,0.32614013574394385,0.04110626089988757
226,0.0,1.0,0.4915831382198696,0.23678041398221616
199,0.0,1.0,0.5619493669669242,0.23387826831150876
292,0.0,1.0,0.40293562720120846,0.2330195013173518
207,1.0,1.0,0.40552016642019384,0.2267154023148476
